Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
6/13/2019 5:00,99999,99999,0,26.8,60,682,28.8,55,128
6/13/2019 5:07,99999,99999,12.9,26.6,63,682,28.7,49,768
6/13/2019 5:07,99999,99999,16.7,26.5,66,682,28.7,49,256
6/13/2019 17:39,99999,99999,16.7,26.5,66,682,28.7,49,256
6/13/2019 17:40,99999,99999,16.7,26.4,66,682,28.7,49,256
6/13/2019 17:41,99999,99999,16.7,26.5,66,682,28.7,49,256
6/13/2019 17:42,99999,99999,16.7,26.4,67,682,28.7,49,256
6/13/2019 17:43,99999,99999,16.7,26.2,68,682,28.7,49,256
6/13/2019 17:44,99999,99999,16.7,26.1,68,682,28.8,49,256
6/13/2019 17:45,99999,99999,16.7,26,69,682,28.8,49,256
6/13/2019 17:46,99999,99999,16.7,26,69,682,28.8,49,256
6/13/2019 17:47,99999,99999,16.7,25.9,70,682,28.8,49,256
6/13/2019 17:48,99999,99999,16.7,26,70,682,28.8,49,256
6/13/2019 17:49,99999,99999,16.7,26,69,682,28.9,49,256
6/13/2019 17:50,99999,99999,16.7,26.1,69,682,28.9,49,256
6/13/2019 17:51,99999,99999,16.7,26.3,68,682,28.9,49,256
6/13/2019 17:52,99999,99999,16.7,26.4,68,682,29,49,256
6/13/2019 17:53,99999,99999,16.7,26.4,68,682,29,49,256
6/13/2019 17:54,99999,99999,16.7,26.5,67,682,29,49,256
6/13/2019 17:55,99999,99999,16.7,26.6,67,682,29.1,49,256
6/13/2019 17:56,99999,99999,16.7,26.7,66,682,29.1,48,256
6/13/2019 17:57,99999,99999,16.7,26.4,67,682,29.2,48,256
6/13/2019 17:58,99999,99999,16.7,26.3,68,682,29.2,48,256
6/13/2019 17:59,99999,99999,16.7,26.3,68,682,29.3,48,256
6/13/2019 18:00,99999,22,16.7,26.4,68,682,29.3,48,768
6/13/2019 18:01,99999,22,14.1,26.5,67,682,29.4,48,256
6/13/2019 18:02,99999,22,16.7,26.5,67,682,29.4,48,256
6/13/2019 18:03,99999,22,16.7,26.4,68,682,29.5,47,256
6/13/2019 18:04,99999,22,16.7,26.3,68,682,29.5,47,256
6/13/2019 18:05,99999,22,16.7,26.2,68,682,29.6,47,256
6/13/2019 18:06,99999,22,16.7,26.2,68,682,29.6,47,256
6/13/2019 18:07,99999,22,16.7,26.2,68,682,29.6,47,256
6/13/2019 18:08,99999,22,16.8,26.1,68,682,29.6,46,256
6/13/2019 18:09,99999,22,16.7,26.1,68,682,29.6,46,256
6/13/2019 18:10,99999,22,16.7,26,68,682,29.6,46,256
6/13/2019 18:11,99999,22,16.7,25.9,68,682,29.6,46,256
6/13/2019 18:12,99999,22,16.7,25.8,68,682,29.6,46,256
6/13/2019 18:13,99999,22,16.7,25.8,68,682,29.6,46,256
6/13/2019 18:14,99999,22,16.7,25.8,68,681,29.6,46,256
6/13/2019 18:15,99999,22,16.7,25.7,69,681,29.6,46,256
6/13/2019 18:16,99999,22,16.7,25.7,69,681,29.6,46,256
6/13/2019 18:17,99999,22,16.7,25.6,69,681,29.6,46,256
6/13/2019 18:18,99999,22,16.7,25.6,69,681,29.6,46,256
6/13/2019 18:19,99999,22,16.7,25.6,69,682,29.5,46,256
6/13/2019 18:20,99999,22,16.7,25.6,69,682,29.5,46,256
6/13/2019 18:21,99999,22,16.7,25.6,69,682,29.5,46,256
6/13/2019 18:22,99999,22,16.7,25.5,69,681,29.5,46,256
6/13/2019 18:23,99999,22,16.7,25.5,70,682,29.4,46,256
6/13/2019 18:24,99999,22,16.7,25.5,70,681,29.4,46,256
6/13/2019 18:25,99999,22,16.7,25.5,70,681,29.4,46,256
6/13/2019 18:26,99999,22,16.7,25.5,70,681,29.4,46,256
6/13/2019 18:27,99999,22,16.7,25.5,70,681,29.3,46,256
6/13/2019 18:28,99999,22,16.7,25.4,70,681,29.3,46,256
6/13/2019 18:29,99999,22,16.7,25.4,70,681,29.3,46,256
6/13/2019 18:30,99999,22,16.7,25.4,70,681,29.3,46,256
6/13/2019 18:31,99999,22,16.7,25.3,70,681,29.2,46,256
6/13/2019 18:32,99999,22,16.7,25.4,70,682,29.2,47,256
6/13/2019 18:33,99999,22,16.7,25.4,70,682,29.2,47,256
6/13/2019 18:34,99999,22,16.7,25.4,70,682,29.1,47,256
6/13/2019 18:35,99999,22,16.7,25.4,70,682,29.1,47,256
6/13/2019 18:36,99999,22,16.7,25.4,70,682,29.1,47,256
6/13/2019 18:37,99999,22,16.7,25.4,70,682,29.1,47,256
6/13/2019 18:38,99999,22,16.7,25.3,70,682,29,47,256
6/13/2019 18:39,16,22,16.7,25.3,70,682,29,47,256
6/13/2019 18:40,-15,22,16.7,25.3,70,682,29,47,256
6/13/2019 18:41,-15,22,16.7,25.3,70,682,29,47,256
6/13/2019 18:42,-15,22,16.7,25.2,70,682,28.9,47,256
6/13/2019 18:43,-15,22,16.7,25.2,70,682,28.9,47,256
6/13/2019 18:44,-15,22,16.7,25.3,70,682,28.9,47,256
6/13/2019 18:45,-15,22,16.7,25.3,70,682,28.9,47,256
6/13/2019 18:46,-15,22,16.7,25.3,70,682,28.8,47,256
6/13/2019 18:47,-15,22,16.7,25.2,70,682,28.8,47,256
6/13/2019 18:48,-15,22,16.7,25.2,71,682,28.8,47,256
6/13/2019 18:49,-15,22,16.7,25.2,71,682,28.8,47,256
6/13/2019 18:50,-5,22,16.7,25.1,71,682,28.8,47,256
6/13/2019 18:51,9,22,16.7,25.1,71,682,28.7,48,256
6/13/2019 19:00,35,15,16.7,25.1,71,682,28.7,48,0
6/13/2019 20:00,23,28,16.6,25.2,70,682,28.5,48,0
6/13/2019 21:00,28,30,16.6,25.2,69,683,28.5,48,0
6/13/2019 22:00,32,25,16.6,24.7,73,683,28.2,50,0
6/13/2019 23:00,26,32,16.6,23.9,79,683,27.7,53,0
6/14/2019 0:00,27,24,16.7,23.6,81,683,27,55,0
6/14/2019 1:00,24,26,16.6,23.1,85,682,26.6,58,0
6/14/2019 2:00,22,20,16.6,22.7,87,682,26.2,60,0
6/14/2019 3:00,17,18,16.6,22.6,87,681,26,60,0
6/14/2019 4:00,18,17,16.6,22.6,86,681,25.9,60,0
6/14/2019 5:00,19,20,16.5,22.6,85,681,25.8,60,0
6/14/2019 6:00,19,23,16.7,22.6,85,681,25.8,59,0
6/14/2019 7:00,23,28,16.6,22.6,85,682,25.9,59,0
6/14/2019 8:00,20,16,16.6,23.7,78,682,26.7,56,0
6/14/2019 9:00,15,13,16.6,24.6,73,683,28.1,51,0
6/14/2019 10:00,15,18,16.6,26.5,64,683,30.3,43,0
6/14/2019 11:00,43344,99999,14.4,27.8,58,683,32.2,36,512
6/14/2019 12:00,99999,99999,4.4,28.7,55,682,34,36,768
6/14/2019 13:00,99999,6,16,29.7,51,682,32.2,32,768
6/14/2019 14:00,43335,3,16.6,29.9,51,681,33,30,0
6/14/2019 15:00,0,-1,16.6,30,51,681,32.9,30,0
6/14/2019 16:00,-1,0,16.6,30,52,680,33,31,0
6/14/2019 17:00,0,2,16.7,29.6,53,680,32.5,31,0
6/14/2019 18:00,7,13,16.7,26.5,74,681,30.2,41,0
6/14/2019 19:00,4,1,16.7,26,78,681,28,49,0
6/14/2019 20:00,-2,-1,16.7,25.4,80,682,26.8,52,0
6/14/2019 21:00,-3,-5,16.7,25.3,76,682,26.3,51,0
6/14/2019 22:00,-1,-1,16.6,25,69,683,26,46,0
6/14/2019 23:00,2,2,16.7,24.4,72,683,25.5,48,0
6/15/2019 0:00,2,1,16.7,23.7,76,683,24.9,51,0
6/15/2019 1:00,0,3,16.7,23.2,81,683,24.4,54,0
6/15/2019 2:00,4,3,16.5,22.6,87,682,23.8,58,0
6/15/2019 3:00,-3,-2,16.7,22.3,89,682,23.3,60,0
6/15/2019 4:00,-1,-1,16.7,22,90,682,23.1,61,0
6/15/2019 5:00,-2,1,16.7,21.8,91,682,22.8,62,0
6/15/2019 6:00,4,1,16.7,21.7,91,682,22.6,62,0
6/15/2019 7:00,-2,-4,16.7,21.9,90,682,22.6,62,0
6/15/2019 8:00,-7,-8,16.7,22.9,84,683,23.5,59,0
6/15/2019 9:00,-5,-5,16.6,24,78,683,25,54,0
6/15/2019 10:00,-1,-3,16.6,25.9,69,683,27.3,46,0
6/15/2019 11:00,-1,0,16.6,27.4,62,683,29.3,39,0
6/15/2019 12:00,99999,-11,15.2,28.9,55,682,31,35,384
6/15/2019 13:00,91665,-3,16.6,29.6,52,682,31.8,32,0
6/15/2019 14:00,-4,-4,16.6,30.7,47,681,33.2,28,0
6/15/2019 15:00,-2,1,16.6,31.3,45,681,34.5,26,0
6/15/2019 16:00,1,3,16.6,31.7,40,681,35.1,23,0
6/15/2019 17:00,6,1,16.7,31.7,42,681,35,24,0
6/15/2019 18:00,4,-1,16.7,31,45,681,34.5,25,0
6/15/2019 19:00,2,2,16.7,30,45,681,32.7,27,0
6/15/2019 20:00,4,3,16.7,29,51,682,30.7,32,0
6/15/2019 21:00,1,2,16.7,28,55,682,29.5,35,0
6/15/2019 22:00,3,1,16.6,26.9,61,683,28.5,39,0
6/15/2019 23:00,4,1,16.7,25.6,68,683,27.3,43,0
6/16/2019 0:00,2,1,16.7,24.8,72,683,26.2,46,0
6/16/2019 1:00,2,1,16.7,24.1,75,683,25.4,49,0
6/16/2019 2:00,5,5,16.6,23.6,78,682,24.8,51,0
6/16/2019 3:00,5,2,16.6,23.1,80,682,24.2,53,0
6/16/2019 4:00,3,3,16.7,22.6,83,682,23.7,55,0
6/16/2019 5:00,4,-3,16.7,22.3,86,682,23.3,57,0
6/16/2019 6:00,-2,2,16.7,22,87,683,23,59,0
6/16/2019 7:00,-1,-3,16.7,22.1,87,683,22.9,60,0
6/16/2019 8:00,-5,-11,16.6,22.9,83,683,23.6,57,0
6/16/2019 9:00,-5,-2,16.6,24.3,75,684,25.4,51,0
6/16/2019 10:00,-4,-3,16.6,26.2,65,684,27.8,42,0
6/16/2019 11:00,-2,2,16.6,28,55,683,29.9,35,0
6/16/2019 12:00,1,-1,16.6,29,50,683,31.1,31,0
6/16/2019 13:00,2,1,16.6,30.1,47,682,32.3,29,0
6/16/2019 14:00,2,-2,16.6,31,43,682,33.6,26,0
6/16/2019 15:00,1,6,16.6,31.6,41,681,35,23,0
6/16/2019 16:00,2,1,16.6,32.2,40,681,35.7,23,0
6/16/2019 17:00,2,-4,16.7,31.5,42,681,35.3,23,0
6/16/2019 18:00,-2,1,16.6,31.2,43,681,34.4,24,0
6/16/2019 19:00,1,6,16.7,30.2,47,681,33,27,0
6/16/2019 20:00,0,-3,16.7,29.4,49,682,31.1,31,0
6/16/2019 21:00,-1,1,16.7,28.8,48,683,30.3,31,0
6/16/2019 22:00,0,1,16.7,27.7,52,683,29.4,33,0
6/16/2019 23:00,2,2,16.7,26,66,684,28.2,40,0
6/17/2019 0:00,4,2,16.7,25.5,68,684,27.1,43,0
6/17/2019 1:00,4,2,16.7,24.9,71,683,26.4,46,0
6/17/2019 2:00,1,-1,16.6,24.2,75,683,25.6,49,0
6/17/2019 3:00,1,1,16.7,23.4,77,683,24.9,50,0
6/17/2019 4:00,1,4,16.7,22.8,80,683,24.1,52,0
6/17/2019 5:00,5,3,16.7,22.4,82,683,23.6,54,0
6/17/2019 6:00,3,2,16.7,22.1,84,683,23.2,56,0
6/17/2019 7:00,-1,-4,16.6,22.1,84,683,23,57,0
6/17/2019 8:00,-7,-2,16.7,22.5,82,684,23.6,55,0
6/17/2019 9:00,-4,-7,16.6,23.9,76,684,24.9,51,0
6/17/2019 10:00,0,0,16.6,25.6,67,684,27.3,43,0
6/17/2019 11:00,0,3,16.6,27.1,60,684,29.4,37,0
6/17/2019 12:00,-3,0,16.6,28.5,54,683,30.9,33,0
6/17/2019 13:00,-1,-1,16.6,29.4,51,683,32.2,30,0
6/17/2019 14:00,99999,99999,0.9,30.8,44,682,35.1,33,128
6/17/2019 15:00,99999,45,14.4,31,43,682,36.9,24,768
6/17/2019 16:00,71679,45,16.6,31.6,40,682,39.3,19,0
6/17/2019 17:00,54,59,16.6,31.8,40,682,40.6,17,0
6/17/2019 18:00,51,53,16.7,31,42,682,40.3,17,0
6/17/2019 19:00,49,49,16.7,29.7,45,682,38.3,19,0
6/17/2019 20:00,50,49,16.7,29.1,49,682,36.9,22,0
6/17/2019 21:00,99999,51,16,27.9,54,683,33.2,27,384
6/17/2019 22:00,68343,37,16.6,27.1,58,683,32.7,30,0
6/17/2019 23:00,51,54,16.7,26.2,64,683,33.6,30,0
6/18/2019 0:00,49,48,16.7,25.5,68,683,33,31,0
6/18/2019 1:00,47,48,16.7,24.7,72,683,32.4,33,0
